COMPANY NAME,Symbol,Return_1d,Return_7d,Return_15d,Return_21d,Return_30d,Return_45d,Return_60d,PostIPO_price_std
ACME Solar Holdings Limited,ACMESOLAR,-20.9584775086505,-17.4532871972318,-3.60207612456748,-3.84429065743945,-7.43598615916955,-19.8892733564013,-23.2076124567474,24.572959296174
AGS Transact Technologies Limited,AGSTRA,-8.37142857142857,-9.71428571428571,-29.6571428571428,-35.1999999999999,-37.2285714285714,-40.5428571428571,-39.3142857142857,24.1476608351517
ASK Automotive Limited,ASKAUTOLTD,10.7056737588652,2.61347517730496,3.98581560283688,1.06028368794326,1.29078014184396,0.794326241134754,0.585106382978715,10.1597717447175
Aadhar Housing Finance Limited,AADHARHFC,14.6349206349206,9.0,7.95238095238095,7.68253968253967,33.3809523809523,32.9682539682539,41.5396825396825,45.4756331927958
Adani Wilmar Limited,AWL,39.9565217391304,66.8913043478261,50.0217391304347,66.2173913043478,49.3043478260869,82.2826086956521,150.891304347826,86.1281589371603
Aditya Birla Sun Life AMC Limited,ABSLAMC,-12.9353932584269,-12.7247191011235,-18.4353932584269,-16.7570224719101,-19.4241573033707,-23.4073033707865,-24.129213483146,32.3128436059836
Aditya Infotech Limited,CPPLUS,57.9111111111111,57.2666666666666,81.2962962962963,90.074074074074,105.407407407407,107.896296296296,104.251851851851,146.903794644496
Advance Agrolife Limited,ADVANCE,5.01999999999999,10.45,23.25,39.02,37.3199999999999,26.03,15.5999999999999,12.9346780106075
Aequs Limited,AEQUS,22.1209677419354,28.0645161290322,12.3951612903225,10.8790322580645,13.7741935483871,8.52419354838709,16.3064516129032,8.51867640065331
Aeroflex Industries Limited,AEROFLEX,52.3148148148148,44.6481481481481,44.4259259259259,39.8981481481481,39.8518518518518,40.5925925925925,40.7777777777777,4.85912445572147
Aether Industries Limited,AETHER,24.5015576323987,22.4454828660436,16.8847352024922,19.0031152647975,21.0046728971962,42.8971962616822,33.7305295950155,59.5838255057927
Ajax Engineering Limited,AJAXENGG,-3.3704292527822,-4.10969793322734,-3.85532591414944,-2.67885532591415,2.73449920508744,-0.270270270270277,14.2448330683624,41.3833587442148
Akums Drugs and Pharmaceuticals Limited,AKUMS,16.8998527245949,37.7393225331369,48.8586156111929,30.1104565537555,30.2577319587628,25.441826215022,21.4285714285714,72.3597535137553
All Time Plastics Limited,ALLTIME,6.0,10.5272727272727,8.0,6.4,4.74545454545455,-4.94545454545455,-1.89090909090908,15.2099708837891
Allied Blenders and Distillers Limited,ABDL,18.1957295373665,18.1423487544484,9.47686832740213,4.73309608540925,5.86120996441282,6.26690391459075,24.0711743772241,21.4763712905491
Anand Rathi Share and Stock Brokers Limited,ARSSBL,9.1183574879227,7.7536231884058,12.475845410628,25.3743961352656,23.0314009661835,77.1497584541062,59.7101449275362,112.248596342904
Anand Rathi Wealth Limited,ANANDRATHI,-49.1836363636363,-50.0781818181818,-49.34,-44.4181818181818,-46.1472727272727,-47.9545454545454,-50.1890909090909,11.9503542485847
Angel Broking Limited,ANGELBRKG,,,,,,,,
Anthem Biosciences Limited,ANTHEM,28.5087719298245,32.6140350877192,29.2456140350877,32.1491228070175,47.5263157894736,48.0701754385964,48.438596491228,53.6246445209662
Antony Waste Handling Cell Limited,AWHCL,20.1111111111111,19.015873015873,10.4285714285714,-3.87301587301586,-3.88888888888888,-2.12698412698412,-4.65079365079364,35.3571236171183
Anupam Rasayan India Limited,ANURAS,233.521186440677,234.32627118644,222.754237288135,222.631355932203,226.796610169491,227.411016949152,215.351694915254,15.6455730845136
